speakerid,age,age_onset,birthplace,filename,native_language,sex,country,file_missing?
1,27.0,9.0,"virginia, south africa",afrikaans1,afrikaans,female,south africa,False
2,40.0,5.0,"pretoria, south africa",afrikaans2,afrikaans,male,south africa,False
3,25.0,15.0,"diekabo, ivory coast",agni1,agni,male,ivory coast,False
4,19.0,6.0,"prishtina, kosovo",albanian1,albanian,male,kosovo,False
5,33.0,15.0,"tirana, albania",albanian2,albanian,male,albania,False
6,20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,female,ethiopia,False
7,23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,ethiopia,False
8,27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,ethiopia,False
9,20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,ethiopia,False
10,31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,ethiopia,False
11,38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,female,saudi arabia,False
12,26.0,5.0,"cairo, egypt",arabic10,arabic,male,egypt,False
13,30.0,14.0,"monastir, tunisia",arabic11,arabic,female,tunisia,False
14,32.0,11.0,"baghdad, iraq",arabic12,arabic,male,iraq,False
15,25.0,15.0,"zabbougha, lebanon",arabic13,arabic,male,lebanon,False
16,18.0,2.5,"damascus, syria",arabic2,arabic,male,syria,False
17,24.0,9.0,"doha, qatar",arabic3,arabic,male,qatar,False
18,19.0,6.0,"sharjah, united arab emirates",arabic4,arabic,male,united arab emirates,False
19,19.0,15.0,"casablanca, morocco",arabic5,arabic,female,morocco,False
20,21.0,14.5,"sanaa, yemen",arabic6,arabic,male,yemen,False
21,18.0,15.0,"casablanca, morocco",arabic7,arabic,female,morocco,False
22,21.0,17.0,"casablanca, morocco",arabic8,arabic,male,morocco,False
23,28.0,4.0,"jerusalem, israel",arabic9,arabic,female,israel,False
24,19.0,9.0,"yerevan, armenia",armenian1,armenian,female,armenia,False
25,24.0,14.0,"naxcivan, azerbaijan",azerbaijani1,azerbaijani,male,azerbaijan,False
26,40.0,30.0,"douala, cameroon",bafang1,bafang,male,cameroon,False
27,31.0,29.0,"conakry, guinea",baga1,baga,male,guinea,False
28,43.0,40.0,"jianchuan, yunnan, china",bai1,bai,female,china,False
29,15.5,12.0,"bamako, mali",bambara1,bambara,female,mali,False
30,26.0,18.0,"bamako, mali",bambara2,bambara,female,mali,False
31,31.0,15.0,"foumban, cameroon",bamun1,bamun,female,cameroon,False
32,69.0,34.0,"vizcaya, spain",basque1,basque,female,spain,False
33,50.0,19.0,"guernica, spain",basque2,basque,male,spain,False
34,23.0,16.0,"dhaka, bangladesh",bengali1,bengali,male,bangladesh,False
35,25.0,2.0,"lusaka, zambia",bengali2,bengali,female,zambia,False
36,19.0,5.0,"dhaka, bangladesh",bengali3,bengali,female,bangladesh,False
37,24.0,6.0,"chittagong, bangladesh",bengali4,bengali,male,bangladesh,False
38,39.0,37.0,"doboj, bosnia and herzegovina",bosnian1,bosnian,male,bosnia and herzegovina,False
39,21.0,10.0,"sarajevo, bosnia and herzegovina",bosnian2,bosnian,male,bosnia and herzegovina,False
40,25.0,16.0,"plovdiv, bulgaria",bulgarian1,bulgarian,female,bulgaria,False
41,53.0,42.0,"sofia, bulgaria",bulgarian2,bulgarian,female,bulgaria,False
42,27.0,10.0,"sofia, bulgaria",bulgarian3,bulgarian,male,bulgaria,False
43,22.0,20.0,"plovdiv, bulgaria",bulgarian4,bulgarian,male,bulgaria,False
44,23.0,14.0,"sofia, bulgaria",bulgarian5,bulgarian,male,bulgaria,False
45,22.0,12.0,"hong kong, china",cantonese1,cantonese,female,china,False
46,20.0,13.0,"hong kong, china",cantonese2,cantonese,male,china,False
47,22.0,6.0,"hong kong, china",cantonese3,cantonese,male,china,False
48,29.0,13.0,"fuzhou, fujian, china",cantonese4,cantonese,female,china,False
49,18.0,14.0,"hong kong, china",cantonese5,cantonese,male,china,False
50,32.0,6.0,"saipan, saipan, northern mariana islands",carolinian1,carolinian,female,northern mariana islands,False
51,39.0,13.0,"tarragona, spain",catalan1,catalan,male,spain,False
52,18.0,1.0,"saipan, saipan, northern mariana islands",chamorro1,chamorro,male,northern mariana islands,False
53,27.0,10.5,"prague, czech republic",czech1,czech,female,czech republic,False
54,45.0,11.0,"horsens, denmark",danish1,danish,female,denmark,False
55,37.0,8.0,"haslev, denmark",danish2,danish,female,denmark,False
56,25.0,13.0,"kabul, zoroastrian, afghanistan",dari1,dari,female,afghanistan,False
57,38.0,13.0,"nijmegen, netherlands",dutch1,dutch,male,netherlands,False
58,41.0,14.0,"amsterdam, netherlands",dutch2,dutch,male,netherlands,False
59,35.0,3.0,"okene, nigeria",ebira1,ebira,male,nigeria,False
60,25.0,6.0,"benin city, nigeria",edo1,edo,male,nigeria,False
61,42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,male,usa,False
62,35.0,0.0,"davenport, iowa, usa",english10,english,female,usa,False
63,23.0,0.0,"miami, florida, usa",english100,english,female,usa,False
64,18.0,0.0,"toronto, ontario, canada",english101,english,female,canada,False
65,22.0,0.0,"torrington, connecticut, usa",english102,english,male,usa,False
66,21.0,0.0,"staten island, new york, usa",english103,english,male,usa,False
67,18.0,0.0,"youngstown, ohio, usa",english104,english,female,usa,False
68,35.0,0.0,"staffordshire, uk",english11,english,female,uk,False
69,71.0,0.0,"leicester, uk",english12,english,female,uk,False
70,69.0,0.0,"henley on thames, oxfordshire, uk",english13,english,male,uk,False
71,40.0,0.0,"belfast, northern ireland, uk",english14,english,male,uk,False
72,7.0,0.0,"norton, virginia, usa",english15,english,female,usa,False
73,21.0,0.0,"wise, virginia, usa",english16,english,male,usa,False
74,79.0,0.0,"darwin va, virginia, usa",english17,english,male,usa,False
75,39.0,0.0,"dickenson county, virginia, usa",english18,english,female,usa,False
76,53.0,0.0,"louisville, kentucky, usa",english19,english,male,usa,False
77,30.0,0.0,"birmingham, uk",english2,english,female,uk,False
78,27.0,0.0,"mt. holly, north carolina, usa",english20,english,female,usa,False
79,37.0,0.0,"boston, massachusetts, usa",english21,english,female,usa,False
80,25.0,0.0,"panama city, panama",english22,english,female,panama,False
81,43.0,0.0,"englewood, tennessee, usa",english23,english,male,usa,False
82,37.0,0.0,"glasgow, scotland, uk",english24,english,male,uk,False
83,57.0,0.0,"atlanta, georgia, usa",english25,english,male,usa,False
84,71.0,0.0,"smith island, maryland, usa",english26,english,male,usa,False
85,37.0,0.0,"smith island, maryland, usa",english27,english,female,usa,False
86,54.0,0.0,"toronto, ontario, canada",english28,english,male,canada,False
87,54.0,0.0,"lindsay, ontario, canada",english29,english,female,canada,False
88,26.0,0.0,"brisbane, australia",english3,english,female,australia,False
89,30.0,0.0,"st. mary's, ontario, canada",english30,english,female,canada,False
90,31.0,0.0,"st. augustine, trinidad",english31,english,female,trinidad,False
91,50.0,0.0,"fresno, california, usa",english32,english,female,usa,False
92,21.0,0.0,"san diego, california, usa",english33,english,male,usa,False
93,18.0,0.0,"ronkonkoma, new york, usa",english34,english,female,usa,False
94,60.0,0.0,"milwaukee, wisconsin, usa",english35,english,female,usa,False
95,60.0,0.0,"arcadia, wisconsin, usa",english36,english,male,usa,False
96,28.0,0.0,"yole, india",english37,english,female,india,False
97,27.0,0.0,"littlehampton, uk",english38,english,male,uk,False
98,59.0,0.0,"new orleans, louisiana, usa",english39,english,female,usa,False
99,53.0,0.0,"saint anne's bay, jamaica",english4,english,female,jamaica,False
100,53.0,0.0,"dudley, uk",english40,english,male,uk,False
101,44.0,0.0,"wellington, new zealand",english41,english,male,new zealand,False
102,65.0,0.0,"nigel, south africa",english42,english,male,south africa,False
103,47.0,0.0,"vancouver, british columbia, canada",english43,english,male,canada,False
104,63.0,0.0,"winston salem, north carolina, usa",english44,english,female,usa,False
105,52.0,0.0,"pine bluff, arkansas, usa",english45,english,male,usa,False
106,73.0,0.0,"creswell, north carolina, usa",english46,english,male,usa,False
107,76.0,0.0,"plantersville, arkansas, usa",english47,english,female,usa,False
108,26.0,0.0,"port moresby, national capital district, papua new guinea",english48,english,male,papua new guinea,False
